平台,订单ID,达人昵称,达人UID,达人号,粉丝数,带货类型,带货等级,近30日销量,申样时间,领样商品,店铺名称,商品价格,商品ID,商品规格,件数,媒介,创建人,审核时间,同步ERP时间,发货时间
抖音,SPUXBB20250704183020KH54HGQKX,乐妈（19:10）,"	",blcxks,15210,视频为主,L1,333,2025-07-04 18:30,【3层30抽*15包】米莉马莉婴儿乳霜保湿柔纸巾母婴云柔纸巾,MillyMally亲子旗舰店,19.9,"3753192607556174749	",30抽*15包,1,刘丹,赵鑫诺,2025-07-10 19:44:33,,2025-07-10 19:53:05
抖音,SPUXBB20250704183020L3RSQE5RV,是大福呀 👶🏻,"	",126913980,5483,视频为主,,6,2025-07-04 18:30,米莉马莉80抽10包婴儿湿巾新生手口专用宝宝幼儿童家庭实惠大包装,米莉马莉官方旗舰店,29.9,"3606452610296612692	",80抽*10包,1,耿竹林,赵鑫诺,2025-07-11 12:42:50,,2025-07-11 12:43:36
抖音,SPUXBB20250704183020KJZO2T47A,旭旭的成长日记,"3114267550423470	",91514080027,8914,视频为主,L3,160,2025-07-04 18:30,【3层30抽*15包】米莉马莉婴儿乳霜保湿柔纸巾母婴云柔纸巾,MillyMally亲子旗舰店,19.9,"3753192607556174749	",30抽*15包,1,刘丹,赵鑫诺,2025-07-10 19:44:33,,2025-07-10 19:53:06
抖音,SPUXBB20250704183020KM6MFQJTK,阿宝百货,"	",ID5677888,3236,视频为主,,67,2025-07-04 18:30,米莉马莉胶原蛋白保湿润肤纸100抽盒装宝宝柔纸巾云柔巾保湿抽纸,MillyMally亲子旗舰店,59.9,"3746186568856109277	",【配方新升级】100抽x12盒,1,刘丹,赵鑫诺,2025-07-10 19:44:33,,2025-07-10 19:53:06
抖音,SPUXBB20250704183020L7C63ZA1C,南风小豆子,"	",15083248baobao,641422,直播为主,L4,1187,2025-07-04 18:30,【共18包】米莉马莉便携湿厕纸女士孕妇可用厕纸湿巾擦屁股男士湿巾,米莉马莉母婴旗舰店,16.9,"3691622254141112702	",140*190mm,1,刘丹,赵鑫诺,2025-07-10 19:44:35,,2025-07-10 19:53:06
抖音,SPUXBB20250704183020KBM2ZDICE,多米可真乖,"2782205534807518	",66171118660,8232,视频为主,L2,29,2025-07-04 18:30,米莉马莉80抽10包婴儿湿巾新生手口专用宝宝幼儿童家庭实惠大包装,米莉马莉官方旗舰店,29.9,"3606452610296612692	",80抽*10包,1,刘丹,赵鑫诺,2025-07-10 19:44:32,,2025-07-10 19:53:07
抖音,SPUXBB20250704183020KKS60AQ3F,是余敏敏吖,"	",50685319396,6072,视频为主,,141,2025-07-04 18:30,米莉马莉80抽10包婴儿湿巾新生手口专用宝宝幼儿童家庭实惠大包装,米莉马莉官方旗舰店,29.9,"3606452610296612692	",80抽*10包,1,刘丹,赵鑫诺,2025-07-10 19:44:33,,2025-07-10 19:53:07
抖音,SPUXBB20250704183020KPT6KMALK,孕妈宝妈育儿说,"	",88398600401,33279,,L1,0,2025-07-04 18:30,【3层30抽*15包】米莉马莉婴儿乳霜保湿柔纸巾母婴云柔纸巾,MillyMally亲子旗舰店,19.9,"3753192607556174749	",30抽*15包,1,刘丹,赵鑫诺,2025-07-10 19:44:41,,2025-07-10 19:53:07
抖音,SPUXBB20250704183020KISJ85PPI,胖兮🧚u200d♂️旺仔,"79528365097	",149069325,11094,视频为主,L2,318,2025-07-04 18:30,【3层30抽*15包】米莉马莉婴儿乳霜保湿柔纸巾母婴云柔纸巾,MillyMally亲子旗舰店,19.9,"3753192607556174749	",30抽*15包,1,刘丹,赵鑫诺,2025-07-10 19:44:41,,2025-07-10 19:53:07
抖音,SPUXBB20250704183020KQOR8A6X0,立立三胎带娃记,"1764035581977471	",36731298891,9935,视频为主,L3,352,2025-07-04 18:30,【3层30抽*15包】米莉马莉婴儿乳霜保湿柔纸巾母婴云柔纸巾,MillyMally亲子旗舰店,19.9,"3753192607556174749	",30抽*15包,1,刘丹,赵鑫诺,2025-07-10 19:44:41,,2025-07-10 19:53:08
抖音,SPUXBB20250704183020KQYH7MWLT,悠悠童话童装,"	",98136496,4978539,直播为主,L5,388263,2025-07-04 18:30,【3层30抽*15包】米莉马莉婴儿乳霜保湿柔纸巾母婴云柔纸巾,MillyMally亲子旗舰店,19.9,"3753192607556174749	",30抽*15包,1,刘丹,赵鑫诺,2025-07-10 19:44:41,,2025-07-10 19:53:08
抖音,SPUXBB20250704183020KWI1FTBRK,张张包的凡凡,"	",Jaygir1128,17731,直播为主,L3,1106,2025-07-04 18:30,【加厚4层30抽*15包起】米莉马莉婴儿乳霜保湿柔纸巾母婴云柔纸巾,米莉马莉婴童用品旗舰店,19.8,"3706832255759548879	",【尝鲜试用】4层加厚30抽*15包,1,刘丹,赵鑫诺,2025-07-10 19:44:42,,2025-07-10 19:53:08
抖音,SPUXBB20250704183020KY4SRZ05W,丫丫轻奢馆,"	",wangerhua7,282065,直播为主,L4,55854,2025-07-04 18:30,米莉马莉哄睡婴儿安抚巾玩偶宝宝新生儿娃娃睡觉手偶公仔毛绒玩具,米莉马莉官方旗舰店,29.9,"3493402608960463273	",狮子安抚巾【升级牙胶款 安抚豆豆绒 安全可啃咬 】,1,刘丹,赵鑫诺,2025-07-10 19:44:42,,2025-07-10 19:53:09
